box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.377,0.09,0.179,0.182,0.118,0.145,-10.0,-10.0,0.0,0.0,-0.25,0.6,6.383,27.306,0,-50.0
0.56,0.089,0.179,0.182,0.123,0.132,-0.25,0.072,0.118,0.145,-0.3,0.3,-6.581,5.697,0,-50.0
0.418,0.084,0.135,0.17,0.166,0.189,-10.0,-10.0,0.0,0.0,-0.2,1.0,-6.222,6.296,0,-50.0
0.418,0.084,0.135,0.17,0.186,0.169,-0.696,0.049,0.166,0.189,0.09999999999999998,0.3,-4.224,9.626,0,-50.0
0.161,0.055,0.131,0.111,0.113,0.192,-10.0,-10.0,0.0,0.0,0.15000000000000002,0.65,52.828,88.047,0,0
0.161,0.055,0.131,0.111,0.139,0.18,0.15,0.206,0.113,0.192,0.15000000000000002,0.65,50.297,83.83,0,0
-0.341,0.078,0.182,0.157,0.112,0.145,-10.0,-10.0,0.0,0.0,-0.35,0.15,6.336,37.228,-30.0,-50.0
-0.356,0.111,0.182,0.157,0.16,0.166,-0.342,0.072,0.112,0.145,-0.35,0.65,2.3,20.501,0,-50.0
0.22,0.051,0.122,0.103,0.127,0.114,-10.0,-10.0,0.0,0.0,0.25,0.75,-3.77,10.382,0,-50.0
0.22,0.051,0.122,0.103,0.187,0.165,-0.264,0.056,0.127,0.114,-0.2,0.1,-10.565,9.058,-30.0,-50.0
0.007,0.07,0.123,0.141,0.106,0.172,-10.0,-10.0,0.0,0.0,0.0,0.5,16.064,43.441,0,-50.0
0.177,0.061,0.123,0.141,0.179,0.198,0.0,0.085,0.106,0.172,-0.2,0.1,-0.939,25.101,-30.0,-50.0
0.266,0.057,0.164,0.116,0.143,0.124,-10.0,-10.0,0.0,0.0,0.25,0.75,52.686,87.811,0,0
0.266,0.057,0.164,0.116,0.118,0.175,0.25,0.177,0.143,0.124,0.25,0.75,47.186,78.644,0,0
0.489,0.069,0.133,0.139,0.136,0.19,-10.0,-10.0,0.0,0.0,-0.2,1.0,6.435,27.392,0,-50.0
0.489,0.069,0.133,0.139,0.168,0.199,-0.199,0.094,0.136,0.19,-0.2,0.1,-10.997,8.337,-30.0,-50.0
-0.334,0.077,0.16,0.155,0.173,0.129,-10.0,-10.0,0.0,0.0,-0.35,0.15,20.762,61.27,-30.0,-50.0
-0.335,0.091,0.16,0.155,0.183,0.158,-0.319,0.065,0.173,0.129,-0.35,0.65,0.324,17.208,0,-50.0
-0.31,0.081,0.166,0.164,0.191,0.138,-10.0,-10.0,0.0,0.0,-0.35,0.15,12.011,20.02,0,0
-0.342,0.081,0.166,0.164,0.121,0.182,-0.682,0.049,0.191,0.138,-0.35,0.65,13.24,22.067,0,0
-0.04,0.086,0.133,0.173,0.141,0.179,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.45,55.191,91.986,0,0
-0.04,0.086,0.133,0.173,0.125,0.132,-0.049,0.262,0.141,0.179,-0.04999999999999999,0.45,26.381,70.636,-30.0,-50.0
0.231,0.056,0.163,0.114,0.12,0.188,-10.0,-10.0,0.0,0.0,0.25,0.75,48.141,80.236,0,0
0.23,0.056,0.163,0.114,0.165,0.118,0.249,0.207,0.12,0.188,-0.2,0.1,-2.327,22.787,-30.0,-50.0
